userMediaCount,userFollowerCount,userFollowingCount,userHasHighlighReels,userHasExternalUrl,userTagsCount,userBiographyLength,usernameLength,usernameDigitCount,automatedBehaviour,combined_posts
29,521,343,0,0,5,66,9,0,1,-917965799625545595
6,592,1003,1,0,20,56,12,0,1,-1864607269097179706
112,721,1699,0,1,45,67,11,0,1,-6000477048031533510
32,421,1182,1,0,0,136,23,0,1,-6023646539491035900
532,925,1110,1,0,31,6,9,0,1,-6017563690677499741
31,385,256,1,0,21,88,12,0,1,1719814003856234681
4,9605,7274,1,0,4,20,7,0,1,-8040145173812088626
170,2662,3909,1,1,9,130,7,0,1,1707012001732314541
212,2417,1343,1,0,53,144,11,2,1,-7268418200165342329
1000,11076,4416,1,1,273,116,10,0,1,8441378710290331644
32,626,306,1,0,5,125,12,1,1,-3088032540381919035
258,3843,3354,1,1,27,131,21,0,1,3828664385601661754
2,691,496,0,0,1,29,27,3,1,8005682377701501830
88,3038,3920,0,0,13,0,13,0,1,2961497967071942661
30,1567,4441,0,0,24,112,19,0,1,5373200081523859324
498,1473,5812,1,1,168,131,9,0,1,-7764886596347422475
18,180,1237,0,1,0,100,23,0,1,8075266614924838488
304,10809,4735,1,1,48,138,9,0,1,-7938256072994439143
179,1327,6277,1,0,1,25,12,0,1,4369027878584709775
0,1074,2348,0,0,0,17,16,0,1,5740354900026072187
135,1940,1800,1,0,27,147,8,0,1,3662358840469281759
4,1285,3782,0,0,0,98,13,0,1,7310099928597363281
27,458,1423,0,0,0,0,14,0,1,3335320564289191669
99,39737,3825,1,1,219,149,17,0,1,3637374137455604667
41,465,4372,0,0,12,77,12,0,1,-6150285787910049359
130,6197,1906,1,0,11,27,16,0,1,2717064114258065130
1000,12814,1888,1,1,457,144,13,0,1,3798484491963607202
1000,6273,1508,1,1,3651,130,16,0,1,-1873979172917104535
524,4744,2326,1,1,24,141,11,0,1,1810932941373515310
263,9528,1079,1,0,148,115,13,0,1,-6758480791733022031
271,3124,3710,0,1,3,109,13,0,1,-4085062524097349458
232,1966,2152,0,0,3,50,16,0,1,8642246080799151654
22,760,525,0,0,14,6,9,0,1,-7912166074866816551
58,1771,1898,0,0,0,15,9,0,1,-6903630178940453556
672,4827,6408,0,1,315,84,17,0,1,-830257772052680163
130,16159,2735,1,1,26,29,11,0,1,4594044399341332142
180,2536,2715,0,1,23,148,13,0,1,6311567851464900892
330,1568,765,0,0,83,74,11,0,1,-8298036997005973928
403,4677,1423,1,1,22,149,17,0,1,4960289673212251225
104,1825,1297,0,1,29,35,19,0,1,9005769016317101849
447,1028,1174,1,1,1,150,11,0,1,-1422431321795651808
142,5575,5018,0,1,40,138,14,0,1,7169310434591879527
1000,31106,4525,1,1,291,131,10,0,1,-9167710305142799661
97,10246,4380,1,1,1,135,13,0,1,-1203302023305520996
34,784,6620,1,1,4,148,18,0,1,1450444593351056214
53,3060,7466,0,0,1,150,16,0,1,-4670540063808117400
1000,1441,2888,0,0,30,13,8,0,1,8377710644412366750
222,5668,3295,0,0,72,66,14,0,1,-1603861791548844925
1,860,1174,0,1,4,48,10,0,1,5116489789029162129
161,6625,2703,1,1,33,100,18,0,1,-122854391755710712
35,6968,4756,1,0,89,126,18,0,1,-581907881413623963
10,1220,704,0,0,17,134,14,0,1,1196070934413373596
979,1266,697,1,1,47,60,14,0,1,-470778527703847598
27,1251,7336,0,1,8,111,13,0,1,733613089445054218
284,3469,1586,1,0,52,94,9,0,1,379836555364482648
315,997,314,0,0,20,25,14,0,1,4937442779285447378
344,1621,4466,0,1,4,94,14,2,1,3865142294891940490
206,12416,2849,0,0,5,22,11,0,1,-2989886318472181171
47,3972,4595,0,0,0,31,13,0,1,3692140395017070866
43,606,1235,0,0,0,138,13,0,1,-3680260153473727297
1000,6292,1512,0,0,1256,59,13,0,1,3625187425541056291
531,309,483,0,0,4,87,24,0,1,6205881050213281795
75,339,562,1,1,0,107,7,0,1,-8949252204301592055
124,10281,0,1,0,205,100,17,0,1,-8214289718193324597
96,2915,485,1,0,9,66,16,0,1,6271892037187875198
163,2660,5241,1,1,21,114,22,0,1,-2625376576304913903
92,22630,808,1,0,66,114,16,0,1,-1949128456439904645
1000,7296,3480,1,0,186,149,13,1,1,-5456050219897446641
0,22,0,0,0,0,0,14,0,1,5740354900026072187
305,2157,2982,0,1,10,39,15,0,1,8555925286844838343
192,3242,1827,1,0,14,127,10,0,1,-5952751159779358698
385,1347,518,0,0,1,81,7,0,1,1264770034484192763
304,1680,485,1,0,30,100,17,0,1,8427071429007133774
329,3105,1139,1,1,160,148,10,0,1,-990134452408736753
420,10121,3085,0,1,82,95,10,0,1,4763265474467323743
16,724,646,1,1,0,0,15,2,1,598555725714479205
54,210,1674,0,0,0,128,13,1,1,-3019944360430417996
0,345,3387,0,0,0,85,18,0,1,5740354900026072187
0,404,3396,0,0,0,91,25,0,1,5740354900026072187
1000,11687,3874,0,0,0,133,14,1,1,6780803565513918880
152,1145,683,0,0,32,116,12,0,1,-4406624279586068752
8,24,50,0,0,0,63,16,1,1,-8967631539659851063
19,241,15,0,0,2,59,10,0,1,-8963307584149623923
63,3773,2698,0,0,3,57,9,0,1,-4473599320971092741
143,2915,2111,0,0,44,70,11,0,1,5998633422407370308
1000,11604,7399,1,0,300,106,10,0,1,-2193870645248589859
191,1906,814,1,1,89,39,21,0,1,2530009057957989674
25,12440,4971,0,1,18,106,10,0,1,1975423249604455374
16,284,382,0,0,8,133,12,0,1,4784692091832505999
244,3383,1115,1,1,37,116,10,0,1,2361203855694769967
449,11812,6503,1,1,291,62,20,0,1,8350511437384957858
1,35188,738,1,1,23,0,13,0,1,7343240735917077971
49,1643,473,0,0,2,86,21,0,1,2947537319348913393
1000,5757,653,1,0,153,100,9,0,1,3066929490223820451
62,798,942,1,1,0,139,17,0,1,1896775101810820939
1,377,259,0,0,0,113,11,0,1,3321195557853403075
376,1273,567,0,1,17,86,8,0,1,-4106247161960136140
590,6589,726,1,1,85,113,9,1,1,-121820551206009342
22,1030,591,0,0,0,23,9,0,1,8401082337477679755
252,5339,2998,0,1,80,148,28,0,1,-4324252714285048367
571,18339,2086,1,0,17,113,11,3,1,-981963801347960593
22,2701,2014,1,0,9,25,13,0,1,9194494140405888039
695,39327,7459,1,1,1359,81,13,0,1,2096421314805833807
17,2211,3778,0,0,5,150,14,0,1,-8046486684047994041
320,4994,4481,0,1,717,129,20,0,1,1887166266014916982
18,2005,1759,0,0,20,26,13,0,1,-4071109086018161521
317,2555,2144,0,0,77,133,10,0,1,7686728667873146024
99,806,1261,0,1,3,137,9,0,1,-7898879843368023566
135,1384,1555,1,1,5,122,18,0,1,-5389352261304251971
76,1807,2841,1,1,0,136,19,0,1,664295494642866031
1000,17068,2202,1,1,876,128,12,0,1,-8799891061640710609
117,2751,5985,0,0,14,150,13,0,1,9087792801464555880
285,4403,5002,1,0,45,26,17,0,1,-7095039012042381343
106,4452,3937,0,1,1,47,13,0,1,6193931978559508691
1000,13736,5920,1,1,12,150,12,0,1,-783839088629027308
302,1498,1530,1,0,121,73,10,0,1,618121957204672067
408,52480,1566,1,0,9,39,15,0,1,742670484779049237
63,23284,2828,1,1,27,125,13,0,1,8999073747321735208
92,11135,1560,0,0,603,26,25,0,1,-2402954537978297280
191,656,1824,0,1,2,93,19,0,1,-7729612296865712493
119,4692,347,1,1,55,142,15,0,1,7738803453299985296
9,1104,24,0,1,18,119,12,0,1,-6183817503448676105
112,2477,995,1,1,12,72,20,0,1,-1010197015371668210
21,1199,1314,0,1,0,48,15,0,1,4613976259238617556
578,5260,2785,0,1,97,23,16,0,1,-3150503399399692183
33,2900,1100,1,0,1,143,12,0,1,6833845167661646039
39,61147,932,1,0,6,140,13,0,1,-2794789968212124518
4,65,38,1,0,0,100,11,0,1,2540399426308463501
164,1615,1133,1,0,14,53,6,0,1,-1148879753461017529
233,20229,1291,0,1,262,56,8,0,1,-7145684676041108811
63,598,817,1,1,1,150,9,0,1,3733094485859219674
16,553,602,1,0,0,139,8,2,1,8542305472054146616
1,63,681,1,0,1,141,16,0,1,-1680221375317002038
539,10152,5890,1,1,7,52,13,2,1,7869879436193453328
906,5383,5227,0,1,143,83,15,0,1,4219712990246215335
119,6425,1312,1,1,4,150,15,0,1,2327095379591890000
500,11404,6681,1,1,165,119,17,0,1,-5232974856736391772
166,2561,1569,1,1,95,121,16,0,1,-2671136321575701852
132,203175,796,1,0,3,146,18,0,1,2103474075811295660
253,10958,4048,1,1,204,144,8,0,1,7498480709906768078
1000,17006,7220,1,0,1074,148,30,0,1,8363178435000273448
315,19405,1532,0,0,166,69,19,0,1,2631375809641230001
3,336,4885,1,0,0,102,16,0,1,-1886971712551865708
219,2412,2448,1,1,2,92,14,0,1,164431553608277452
479,4779,2353,1,1,146,81,11,0,1,-6195449073561459801
265,2252,1540,0,1,0,150,14,0,1,-587558118821631747
327,5282,5407,1,1,26,143,11,0,1,-4344993697101422327
423,3808,3102,1,0,180,119,27,0,1,1943099324479218083
49,5294,1131,1,0,12,28,14,0,1,-5069878890082782926
676,12869,4454,0,1,119,141,17,4,1,2133784020410332787
108,3560,3290,1,1,7,80,14,0,1,6577903751343591423
476,4981,1972,1,1,37,132,20,0,1,8250339043913172350
862,25479,2665,1,1,465,149,9,0,1,-1314379656645336393
188,14285,1740,1,0,6,141,9,0,1,-2008166211871288923
18,2584,1353,0,0,1,77,16,0,1,6056809277929768764
39,1972,138,0,1,1,20,10,0,1,3254417311592886970
612,58094,7316,1,1,160,102,15,0,1,-8962699927412597049
5,855,1226,1,0,3,58,14,0,1,-8289171059519054535
9,85,0,0,1,1,77,18,0,1,206887675979473972
343,6345,3282,1,1,70,118,18,0,1,-4162967094343649365
121,1563,2120,1,0,3,6,7,0,1,-4081042081522710522
1000,19434,4650,1,1,67,148,6,2,1,4203133191829468018
584,5774,394,1,0,45,113,12,0,1,579772608330251045
36,904,657,0,1,3,59,19,0,1,-4028539029870711646
722,3017,2591,1,0,24,144,13,0,1,-3804691150148963770
16,609,285,0,0,0,0,19,0,1,-5050493269692053659
813,8357,6084,1,1,267,0,19,0,1,8185439354446155450
563,1092,1415,1,1,56,145,13,0,1,2231801452253329690
1000,8962,1620,1,1,65,148,12,0,1,6529557256169011157
102,2594,370,0,1,5,41,12,0,1,4309289967392776137
743,11177,1632,1,0,171,138,15,0,1,2723090894675799799
149,7361,1430,0,0,1,83,7,0,1,-592321977124250405
92,4758,1593,1,1,32,100,19,0,1,-7127509604612700362
292,2717,772,1,0,29,53,11,0,1,-1271696443023713661
54,1352,851,1,0,1,144,24,0,1,7443719931316441420
149,2949,1797,1,1,162,91,15,0,1,7158209574856046760
32,1798,974,1,0,104,132,8,0,1,-3924794023840938935
1000,12130,5974,0,1,729,22,11,0,1,-5773369156551719950
44,2538,2987,1,1,62,89,10,0,1,-4511453493360570853
170,1685,1653,1,1,433,37,20,0,1,-74994115514468050
52,1734,3986,1,1,0,97,16,0,1,-7451617954551249338
110,3129,1721,1,1,59,96,12,0,1,-8111682892466040891
24,519,574,1,0,3,26,9,0,1,3332778078479983058
340,24453,3157,0,1,9,125,21,0,1,6198148685267967062
97,4135,3506,1,0,107,140,13,0,1,-7481866290121002673
147,13419,1483,1,1,61,131,22,0,1,-1161024181068593047
326,9633,1559,1,1,14,0,6,0,1,-5665219631266595295
256,9810,6780,1,0,128,150,15,0,1,6070987355913356476
42,2710,756,0,0,0,125,13,0,1,-5465394118288287899
84,19207,2302,0,1,21,118,12,0,1,6704845488392049861
88,7639,3306,0,1,21,99,8,0,1,7088737851186170990
27,526,998,0,0,1,11,15,0,1,-5024861281550551118
1000,12684,2302,1,1,457,144,13,0,1,-2660262128658393458
228,14767,5529,0,0,263,149,19,0,1,-2226436884616378580
684,8637,7033,1,1,39,137,10,0,1,1377937843248363683
14,2882,1040,1,0,4,77,9,0,1,8370579704826523590
127,8641,5719,1,1,184,143,8,0,1,1214994216532796721
111,4562,376,1,0,69,106,11,2,1,707080738304999058
239,13428,5996,0,0,135,149,22,0,1,5550008501288367018
741,27842,6491,0,1,19,138,7,0,1,-3827451570541198917
18,8080,714,0,0,0,114,13,0,1,4595439201205727037
312,7653,4705,1,1,243,141,20,0,1,-5294480743884066521
598,15203,7101,1,1,50,22,11,0,1,-7946179437284431384
2,173,642,0,0,0,0,13,2,1,3263828902285165121
308,2037,641,1,1,15,131,7,3,1,-8703522414011531288
62,6886,4467,0,0,5,44,13,0,1,3725081260208475595
279,14952,6671,1,1,52,145,19,0,1,2488722192502002815
359,2663,4312,0,1,4,148,16,2,1,7488341200224808864
0,150,1395,0,0,1,68,24,2,1,5740354900026072187
10,1117,2,0,1,20,119,12,0,1,-584904636086884350
15,389,854,0,0,1,92,9,0,1,-187025689579916540
360,11981,4170,1,0,7,88,12,0,1,7714154225591648253
19,3457,1649,1,0,7,44,9,1,1,-3977588807722491461
502,5014,2571,1,1,164,147,13,0,1,9206145864652110474
88,8570,3054,1,1,65,134,11,0,1,-6692808878566457079
93,5924,1603,1,1,9,129,10,2,1,-8542799197253488654
95,6318,749,1,1,24,133,7,0,1,8545688879367040349
672,75557,7488,0,0,2978,98,14,0,1,3835906308780032142
199,3760,5858,0,1,4,66,20,0,1,7031317455127578234
0,2181,1726,1,0,1,0,8,4,1,5740354900026072187
12,1944,1070,1,1,0,149,11,0,1,-3549122200448851527
245,1785,1911,1,1,38,133,19,0,1,5695462454094159851
51,6141,5725,1,1,69,148,16,0,1,7745944292388121703
385,4771,874,1,1,10,121,9,0,1,-6267144196859242425
1000,2113,5564,0,1,531,146,13,0,1,-9116090380140226527
559,6442,1496,1,1,7,67,11,0,1,8991469962017111335
306,25827,2925,1,1,129,80,9,0,1,5419231421423326753
356,26160,2597,1,1,615,94,7,0,1,-3390015625623024466
1000,7229,7365,1,1,593,105,9,0,1,6249427653471712658
21,1367,1693,0,0,4,0,9,0,1,8009047171646106458
360,2093,2307,1,1,76,150,13,0,1,4917832180038257809
265,1630,1962,1,1,213,77,20,0,1,-4398933423870785273
1000,23758,7224,1,1,737,139,13,0,1,-776326203774481844
115,7694,5895,1,1,10,100,13,2,1,517999922471456603
499,5538,3397,1,1,209,116,11,0,1,-9049662653170117764
3,768,882,1,0,5,59,7,0,1,3877172383375716518
40,1420,1402,1,0,125,133,9,0,1,-3707717204434342387
522,16681,3603,1,0,66,142,20,0,1,4807381183701248063
573,4758,3395,0,1,127,149,11,0,1,9079456555195155949
748,5553,7059,1,1,70,31,12,0,1,6253757308523792173
621,10736,1826,1,1,68,150,14,0,1,7919615923170186718
672,46510,6109,1,1,8963,132,17,0,1,7894705538381905837
749,891,2813,1,1,56,137,12,0,1,4906055636031345110
77,1536,2703,1,1,45,150,13,0,1,-4720212069114690670
695,17305,3535,1,1,89,141,17,0,1,-6801739533038670116
121,1917,707,1,0,45,44,13,0,1,-4782602522972767018
237,13406,6842,1,1,8,92,13,0,1,7433503447796426448
299,654,1144,1,1,4,148,13,0,1,-2933491985063844132
858,22830,2049,0,1,58,144,10,0,1,7239350174000221749
444,2698,2359,1,1,26,113,14,0,1,5101003645571526078
186,819,3168,1,1,8,92,15,0,1,1725106276605533835
1000,21624,4293,1,1,119,103,13,0,1,6338247650598281933
335,17440,1469,1,1,760,87,16,0,1,2270570857938033918
40,860,1702,0,0,3,131,12,0,1,-5248618567359863705
688,22800,7500,1,1,42,79,12,0,1,-6986063986485683149
404,1834,4639,1,1,285,147,24,0,1,-3528381692620489705
112,1007,1812,1,1,18,140,21,0,1,3293661869433705893
1000,7864,5253,1,1,249,75,11,0,1,7965203085242561632
1000,14989,7218,1,1,197,124,14,0,1,543559813028632841
87,580,2048,1,0,5,141,14,0,1,-6004648215416175625
90,2792,3322,1,0,2,76,14,0,1,3521871444109309818
48,2131,4278,1,1,73,116,9,1,1,-657349487644979523
6,206,42,1,1,2,21,8,0,1,-6633220641931896777
15,1772,963,0,0,22,127,8,0,1,-1603990148568255685
430,9403,7417,1,1,232,123,9,0,1,8586899403314276673
0,454,4093,0,0,0,145,8,0,1,5740354900026072187
9,1632,2795,1,0,1,68,13,0,1,-8535036309267546427
111,3855,6891,0,1,2,116,13,0,1,5058747551194957057
158,397,245,1,1,0,107,12,0,1,-7497107377607230439
80,15157,458,1,0,4,0,15,0,1,2935286920196381141
1000,23087,1745,1,1,449,141,6,2,1,-5951656716457499795
1000,1111,1869,1,1,17,123,15,2,1,-2876323531875373872
84,4271,221,1,0,121,79,11,0,1,1852895063961673423
11,927,5067,0,1,0,129,27,0,1,2287567628683343418
149,7413,1986,0,0,534,84,7,0,1,-9184805832274453679
34,4454,508,0,1,40,150,12,0,1,8288945120676194155
201,4315,3595,1,1,5,141,12,0,1,-7190504070224608347
60,3434,2019,1,0,11,120,20,0,1,-7096849028722073168
40,4149,1838,1,0,17,144,13,0,1,-287173964349581665
46,2407,874,1,0,5,6,12,0,1,3826794614407292030
54,6676,1340,1,0,104,77,14,0,1,-7912290108911455205
127,4033,962,1,0,32,47,12,0,1,2918527324328739594
12,14974,4948,1,1,0,78,22,0,1,-2907396553498823807
261,1647,3701,1,1,19,92,22,0,1,-1615107250515235584
450,12263,4674,0,1,2810,133,18,0,1,5080262653646272360
5,1510,237,1,0,1,21,10,1,1,5809279564515367286
486,2713,2687,1,1,41,48,18,2,1,8648303665031582278
645,895,526,1,1,48,122,14,0,1,6401044255501243360
603,3148,696,1,0,15,114,19,0,1,-1119574038420742332
16,23389,1453,1,1,3,113,9,0,1,2785647265976483571
258,4485,2844,0,1,0,37,18,0,1,-6344687597078229913
244,2653,2473,1,1,14,149,13,0,1,327083225035285972
432,54497,2729,0,1,150,111,14,0,1,1807064566260377104
0,64,1329,0,0,0,77,19,2,1,5740354900026072187
14,816,2478,0,0,0,44,11,0,1,-6543697113788005215
146,1193,3419,1,1,7,148,12,0,1,1855133912437888924
171,1300,2927,1,1,6,143,19,0,1,4367242188496737228
36,1496,1043,1,0,13,47,8,0,1,-6375439220664059147
265,5815,3225,1,1,97,106,19,0,1,-8105979677223703008
909,5380,5326,0,1,143,83,15,0,1,8505532260426198316
72,1914,2391,1,1,71,94,18,0,1,2033250693790244444
121,2070,2106,0,0,0,18,27,0,1,-8908091616607386622
1000,16231,2772,1,1,424,126,9,0,1,8661969889278293543
1000,7101,4088,1,1,33,114,13,0,1,1052687142454434761
237,1478,2071,1,1,22,144,13,2,1,2624965870891089470
712,13466,5277,1,0,56,116,14,0,1,-6893101257186309679
122,576,552,0,1,0,150,11,0,1,-1834730575764685975
219,6054,1461,0,1,22,144,13,0,1,-6741223058551577606
166,5874,1897,1,0,8,0,10,0,1,-2821284839986967408
180,69678,3400,1,1,0,93,11,0,1,3545594725759525025
8,458,302,0,0,0,86,15,0,1,5452947857806153763
912,23013,1990,1,1,277,119,13,0,1,-4026585399738252649
7,272,329,1,0,0,11,7,0,1,9016694266995936907
92,897,2347,0,1,4,104,21,0,1,-3493158703262541015
0,39,750,0,1,0,0,11,0,1,5740354900026072187
721,2892,1183,1,1,20,105,15,0,1,-6335878219316570521
579,3564,1972,1,0,111,50,12,0,1,-7269065277244442910
369,5026,3488,1,1,82,130,11,0,1,-6749080357734649877
31,3155,3552,0,1,4,0,6,1,1,-7850256474915518366
31,2402,2680,1,1,20,123,13,2,1,-2558978442159780404
1000,5340,3198,1,0,477,139,8,0,1,2908894097125040379
79,19651,3067,1,1,798,81,16,0,1,-8427591187964930359
52,3271,3121,1,0,41,40,15,0,1,-5260193195724063459
208,646,1060,1,0,16,98,10,2,1,-1344629825463827126
3,2217,17,0,1,0,68,13,1,1,3019122193117880841
659,5796,6866,0,1,134,140,12,0,1,-7670692650558807561
34,2978,4607,1,1,8,127,12,0,1,8685429989056242958
53,721,736,0,0,28,135,13,0,1,8542353266285957897
99,6766,3197,1,1,67,114,8,0,1,-7207839163724132614
35,7208,1077,1,0,35,48,12,0,1,4126055872121054402
10,4222,694,0,0,6,78,13,0,1,3204489462760196534
1000,40004,5237,1,1,196,149,13,0,1,653238757902981663
1000,1815,510,0,0,50,5,12,0,1,6362968826553237755
65,1014,7129,1,1,6,140,10,0,1,-1217204632243849291
134,2455,4840,0,0,1,54,13,0,1,751475588813433823
143,3246,4323,0,0,6,81,17,0,1,1165100120187067746
17,1739,1600,0,0,1,86,13,0,1,-6510202702620322069
143,9966,2666,0,1,151,150,16,0,1,-3087532248676901452
13,1458,5712,0,0,0,150,15,0,1,5994580278292286799
46,9266,2124,0,1,5,13,9,0,1,2210706656556596260
489,2728,6772,1,1,12,136,19,3,1,3845526502565932966
61,12860,3770,1,0,26,68,11,0,1,-2462348420759321449
698,3072,2595,0,1,104,64,11,0,1,8918330298097211214
6,2400,788,0,1,0,116,17,3,1,-1572233829267295583
132,1040,1213,1,0,14,124,15,0,1,4070907952388106427
41,678,1079,0,0,3,136,16,0,1,-827141025240941547
1000,24871,958,0,1,5,42,16,0,1,2820539275600354419
14,690,884,0,1,1,130,14,0,1,-4476687080873208947
645,9696,327,1,1,102,73,19,0,1,-7602575212949313495
18,15577,1713,1,1,479,135,10,0,1,1824958993060677070
132,15114,327,1,1,11,75,13,0,1,5730154971816919373
31,2649,1317,1,0,11,101,14,0,1,-2335083461676327907
23,190,251,0,1,2,0,10,0,1,3981230461873289292
108,32460,7470,1,1,57,140,16,0,1,2619979450539555300
1,1420,358,1,0,117,27,8,0,1,6553072370320858149
165,461,346,1,1,3,99,12,2,1,5717012503736757981
223,7189,1283,1,1,140,70,12,0,1,-3136326439981635511
423,1337,6380,1,0,4,148,19,4,1,2833415637097261080
9,345,949,1,1,0,130,9,0,1,5323211117839929562
535,947,800,1,1,225,147,7,0,1,-501742562569849257
152,2483,2501,1,0,6,112,13,0,1,-6005130098799961617
121,8427,1360,1,0,23,64,9,0,1,-4723926758755343790
88,3476,1756,1,1,45,123,12,0,1,-4819305962557054216
236,2286,1406,1,0,6,88,11,0,1,-4550458063007911852
36,11090,1594,1,1,25,132,13,0,1,-1748443552417061339
5,69,155,1,0,0,141,17,0,1,-2585948084082483839
119,10228,7108,0,0,98,17,14,0,1,295813301096915830
682,1282,1000,1,1,248,63,12,0,1,1410439268149599445
283,5865,1643,0,0,80,65,12,0,1,111037260186045910
1000,6201,5673,1,1,214,148,14,0,1,-5232496424172707624
500,1277,1544,1,0,22,147,16,0,1,1623619227546509683
385,6391,2373,1,1,86,65,19,0,1,-7611740365930945028
75,3825,1220,0,0,5,26,9,0,1,1949489131082555125
966,21248,4402,1,1,627,140,11,0,1,847828314380266071
206,9750,2188,1,1,57,120,10,0,1,-6478328830538277551
255,7517,5134,1,1,0,78,14,0,1,5484810280411170555
51,799,915,1,1,3,108,15,0,1,3359179947918856288
50,952,1028,0,1,5,104,16,0,1,6030029551831747267
24,1995,852,1,1,17,99,17,0,1,1530964501856552526
650,5553,3887,1,1,58,136,7,0,1,1773389966088209729
1000,23744,7363,1,1,742,139,13,0,1,7806106540319524915
